Code,Canton,Since,Capital,Population,Area (km2),Density (per km2),No. munic.,Official languages
ZH,Zürich,1351,Zürich,"1,443,436","1,729",701,171,German
BE,Bern,1353,Bern,"1,009,418","5,959",158,383,"German, French"
LU,Luzern,1332,Luzern,"394,604","1,493",233,87,German
UR,Uri,1291,Altdorf,"36,008","1,077",33,20,German
SZ,Schwyz,1291,Schwyz,"152,759",908,143,30,German
OW,Obwalden,1291 or 1315 (as part of Unterwalden),Sarnen,"36,834",491,66,7,German
NW,Nidwalden,1291 (as Unterwalden),Stans,"42,080",276,138,11,German
GL,Glarus,1352,Glarus,"39,794",685,51,3,German
ZG,Zug,1352,Zug,"120,089",239,416,11,German
FR,Fribourg,1481,Fribourg,"303,377","1,671",141,167,"French, German"
SO,Solothurn,1481,Solothurn,"263,719",790,308,122,German
BS,Basel-Stadt,1501 (as Basel until 1833),Basel,"196,850",37,"5,072",3,German
BL,Basel-Landschaft,1501/1833,Liestal,"283,421",518,502,86,German
SH,Schaffhausen,1501,Schaffhausen,"79,417",298,246,27,German
AR,Appenzell Ausserrhoden,1513,Herisau,"54,064",243,220,20,German
AI,Appenzell Innerrhoden,1513,Appenzell,"15,854",173,87,6,German
SG,St. Gallen,1803,St. Gallen,"495,824","2,026",222,85,German
GR,Graubünden,1803,Chur,"195,886","7,105",26,180,"German, Romansh, Italian"
AG,Aargau,1803,Aarau,"645,277","1,404",388,220,German
TG,Thurgau,1803,Frauenfeld,"263,733",991,229,80,German
TI,Ticino,1803,Bellinzona,"350,363","2,812",110,157,Italian
VD,Vaud,1803,Lausanne,"761,446","3,212",188,339,French
VS,Valais,1815,Sion,"331,763","5,224",53,143,"French, German"
NE,Neuchâtel,1815/1857,Neuchâtel,"177,327",803,206,53,French
GE,Geneva,1815,Geneva,"482,545",282,"1,442",45,French
JU,Jura,1979,Delémont,"72,410",839,82,64,French
CH,Switzerland,,Bern,"8,237,666","41,285",174,"2,596","German, French, Italian, Romansh"