Name	Canton	FullName	Since	Capital	Population	Area	Density	Munic	Languages
Zürich	ZH	Zürich	1351	Zürich	1,463,459	1,729	701	168	German
Bern	BE	Bern	1353	Bern	1,017,483	5,959	158	352	German, French
Luzern	LU	Luzern	1332	Lucerne	398,762	1,493	233	83	German
Uri	UR	Uri	1291[13]	Altdorf	35,973	1,077	33	20	German
Schwyz	SZ	Schwyz	1291[13]	Schwyz	154,093	908	143	30	German
Obwalden	OW	Obwalden	1291[13] or 1315 (as part of Unterwalden)	Sarnen	37,076	491	66	7	German
Nidwalden	NW	Nidwalden	1291[13] (as Unterwalden)	Stans	42,420	276	138	11	German
Glarus	GL	Glarus	1352	Glarus	40,028	685	51	3	German
Zug	ZG	Zug	1352	Zug	122,134	239	416	11	German
Fribourg	FR	Fribourg	1481	Fribourg	307,461	1,671	141	150	French, German
Solothurn	SO	Solothurn	1481	Solothurn	266,418	790	308	109	German
Basel-City	BS	Basel-Stadt	1501 (as Basel until 1833)	Basel	197,762	37	5,072	3	German
Basel-Country	BL	Basel-Landschaft	1501/1833[14]	Liestal	285,094	518	502	86	German
Schaffhausen	SH	Schaffhausen	1501	Schaffhausen	79,836	298	246	26	German
Appenzell Ausserrhoden	AR	Appenzell Ausserrhoden	1513 [15]	Herisau[Note 4]	54,543	243	220	20	German
Appenzell Innerrhoden	AI	Appenzell Innerrhoden	1513[15]	Appenzell	15,974	173	87	6	German
St. Gallen	SG	St. Gallen	1803[16]	St. Gallen	499,065	2,026	222	77	German
Graubünden	GR	Graubünden	1803[17]	Chur	196,610	7,105	26	114	German, Romansh, Italian
Aargau	AG	Aargau	1803	Aarau	653,675	1,404	388	213	German
Thurgau	TG	Thurgau	1803[18]	Frauenfeld[Note 5]	267,429	991	229	80	German
Ticino	TI	Ticino	1803[19]	Bellinzona	351,946	2,812	110	130	Italian
Vaud	VD	Vaud	1803[20]	Lausanne	773,407	3,212	188	318	French
Valais	VS	Valais	1815[21]	Sion	335,696	5,224	53	134	French, German
Neuchâtel	NE	Neuchâtel	1815/1857[22]	Neuchâtel	178,107	803	206	36	French
Geneva	GE	Geneva	1815	Geneva	484,736	282	1,442	45	French
Jura	JU	Jura	1979[23]	Delémont	72,782	839	82	57	French