Rang	Name	F995	F000	F005	F010	F015	Kanton
1.	Zürich	343'869	337'900	347'517	372'857	391'359	Kanton Zürich Zürich
2.	Genf	173'549	174'999	178'722	187'470	194'565	Kanton Genf Genf
3.	Basel	174'007	166'009	163'930	163'216	168'620	Kanton Basel-Stadt Basel-Stadt
4.	Lausanne	115'878	114'889	117'388	127'821	133'897	Kanton Waadt Waadt
5.	Bern	127'469	122'484	122'178	124'381	130'015	Kanton Bern Bern
6.	Winterthur	87'654	88'767	93'546	101'308	106'778	Kanton Zürich Zürich
7.	Luzern	58'847	57'023	57'533	77'491	81'057	Kanton Luzern Luzern
8.	St. Gallen	71'877	69'836	70'316	72'959	75'310	Kanton St. Gallen St. Gallen
9.	Lugano	26'000	25'872	49'223	54'667	63'668	Kanton Tessin Tessin
10.	Biel/Bienne	50'733	48'840	48'735	51'203	53'667	Kanton Bern Bern
11.	Thun	39'094	39'981	41'138	42'623	43'303	Kanton Bern Bern
12.	Köniz	36'335	37'196	37'250	38'823	39'998	Kanton Bern Bern
13.	La Chaux-de-Fonds	37'375	36'747	36'809	37'504	39'027	Kanton Neuenburg Neuenburg
14.	Freiburg	32'501	31'691	33'008	34'897	38'288	Kanton Freiburg Freiburg
15.	Schaffhausen	34'073	33'274	33'569	34'943	35'927	Kanton Schaffhausen Schaffhausen
16.	Chur	30'091	31'310	32'409	33'756	34'547	Kanton Graubünden Graubünden
17.	Vernier	28'423	28'727	30'020	32'844	34'477	Kanton Genf Genf
18.	Neuenburg	31'768	31'639	32'117	33'815	33'641	Kanton Neuenburg Neuenburg
19.	Uster	26'139	27'893	29'855	32'265	33'412	Kanton Zürich Zürich
20.	Sitten	26'065	27'145	28'510	30'363	33'296	Kanton Wallis Wallis
21.	Lancy	25'043	25'479	26'905	28'631	30'919	Kanton Genf Genf
22.	Yverdon-les-Bains	23'234	23'144	24'415	27'511	29'406	Kanton Waadt Waadt
23.	Emmen	26'746	26'628	26'906	28'031	29'292	Kanton Luzern Luzern
24.	Zug	22'778	22'710	24'179	26'327	28'603	Kanton Zug Zug
25.	Kriens	24'156	24'394	25'336	26'324	27'229	Kanton Luzern Luzern
26.	Rapperswil-Jona	15'742	16'733	17'689	26'212	26'722	Kanton St. Gallen St. Gallen
27.	Dübendorf	20'906	22'011	22'707	24'831	26'317	Kanton Zürich Zürich
28.	Dietikon	20'953	21'060	22'178	23'624	26'277	Kanton Zürich Zürich
29.	Montreux	20'982	21'969	23'023	24'579	26'208	Kanton Waadt Waadt
30.	Frauenfeld	20'359	21'620	22'058	23'298	24'578	Kanton Thurgau Thurgau
31.	Wetzikon	17'091	18'097	19'417	22'118	23'938	Kanton Zürich Zürich
32.	Wil	16'102	16'198	17'015	18'000	23'715	Kanton St. Gallen St. Gallen
33.	Baar	17'053	19'166	20'843	21'787	23'228	Kanton Zug Zug
34.	Meyrin	20'029	18'890	19'661	21'508	21'993	Kanton Genf Genf
35.	Bulle	10'144	10'970	12'411	18'947	21'464	Kanton Freiburg Freiburg
36.	Kreuzlingen	17'971	16'714	17'691	19'544	21'290	Kanton Thurgau Thurgau
37.	Wädenswil	19'241	19'122	19'378	20'433	21'245	Kanton Zürich Zürich
38.	Carouge	16'557	17'160	18'884	19'756	20'910	Kanton Genf Genf
39.	Riehen	20'602	20'480	20'472	20'602	20'774	Kanton Basel-Stadt Basel-Stadt
40.	Renens	17'104	17'128	18'136	19'609	20'446	Kanton Waadt Waadt
41.	Aarau	15'918	15'282	15'454	19'497	20'445	Kanton Aargau Aargau
42.	Allschwil	18'569	18'207	18'158	19'314	20'411	Kanton Basel-Landschaft Basel-Landschaft
43.	Wettingen	17'795	17'739	18'318	19'981	20'221	Kanton Aargau Aargau
44.	Horgen	16'520	17'286	17'909	18'942	20'033	Kanton Zürich Zürich
45.	Nyon	15'402	15'964	17'235	18'728	19'738	Kanton Waadt Waadt
46.	Vevey	15'671	15'420	16'664	18'394	19'220	Kanton Waadt Waadt
47.	Bülach	13'658	13'922	14'878	17'511	18'895	Kanton Zürich Zürich
48.	Reinach	17'770	18'441	18'536	18'656	18'810	Kanton Basel-Landschaft Basel-Landschaft
49.	Baden	15'756	15'945	16'295	17'929	18'670	Kanton Aargau Aargau
50.	Adliswil	15'563	15'433	15'710	16'502	18'448	Kanton Zürich Zürich
51.	Volketswil	12'869	14'061	15'174	17'460	18'437	Kanton Zürich Zürich
52.	Kloten	15'913	16'507	17'070	18'030	18'373	Kanton Zürich Zürich
53.	Onex	16'059	16'419	17'167	17'642	18'305	Kanton Genf Genf
54.	Bellinzona	17'331	16'757	16'880	17'373	18'131	Kanton Tessin Tessin
55.	Gossau	16'429	16'788	17'020	17'763	18'053	Kanton St. Gallen St. Gallen
56.	Schlieren	12'809	12'825	13'339	16'157	17'905	Kanton Zürich Zürich
57.	Thalwil	15'344	15'771	16'347	17'213	17'631	Kanton Zürich Zürich
58.	Pully	15'826	16'005	16'500	17'121	17'624	Kanton Waadt Waadt
59.	Glarus Nord 5				16'618	17'587	Kanton Glarus Glarus
60.	Muttenz	16'756	16'642	16'845	17'276	17'538	Kanton Basel-Landschaft Basel-Landschaft
61.	Regensdorf	13'571	14'616	15'538	16'547	17'478	Kanton Zürich Zürich
62.	Monthey	13'960	14'102	15'476	16'408	17'409	Kanton Wallis Wallis
63.	Olten	17'070	16'434	16'633	16'987	17'350	Kanton Solothurn Solothurn
64.	Martigny	14'161	13'841	14'973	16'143	17'342	Kanton Wallis Wallis
65.	Opfikon	11'426	11'846	12'912	15'573	17'173	Kanton Zürich Zürich
66.	Ostermundigen	15'797	15'202	14'886	15'438	16'694	Kanton Bern Bern
67.	Siders	13'987	14'114	15'123	15'527	16'547	Kanton Wallis Wallis
68.	Solothurn	15'353	15'074	15'079	16'066	16'545	Kanton Solothurn Solothurn
69.	Grenchen	16'249	15'973	15'839	15'928	16'480	Kanton Solothurn Solothurn
70.	Val-de-Ruz 6					16'399	Kanton Neuenburg Neuenburg
71.	Illnau-Effretikon	14'427	14'433	15'056	15'602	16'288	Kanton Zürich Zürich
72.	Burgdorf	14'498	14'416	14'796	15'374	15'998	Kanton Bern Bern
73.	Freienbach	11'952	13'089	14'629	15'647	15'981	Kanton Schwyz Schwyz
74.	Locarno	14'556	14'465	14'556	15'153	15'803	Kanton Tessin Tessin
75.	Steffisburg	13'619	14'140	15'122	15'431	15'703	Kanton Bern Bern
76.	Pratteln	15'318	14'910	14'845	15'326	15'601	Kanton Basel-Landschaft Basel-Landschaft
77.	Cham	12'054	13'145	13'791	14'808	15'523	Kanton Zug Zug
78.	Herisau	16'154	15'799	15'245	15'236	15'512	Kanton Appenzell Ausserrhoden Appenzell Ausserrhoden
79.	Morges	12'892	13'754	13'984	14'744	15'465	Kanton Waadt Waadt
80.	Wohlen	12'892	13'223	14'035	14'443	15'446	Kanton Aargau Aargau
81.	Wallisellen	11'206	11'670	12'429	13'654	15'373	Kanton Zürich Zürich
82.	Langenthal	14'578	14'325	14'294	14'938	15'316	Kanton Bern Bern
83.	Binningen	13'868	13'953	14'243	14'721	15'092	Kanton Basel-Landschaft Basel-Landschaft
84.	Einsiedeln	11'691	12'470	13'370	14'385	14'949	Kanton Schwyz Schwyz
85.	Mendrisio	6'089	6'043	6'721	11'582	14'929	Kanton Tessin Tessin
86.	Schwyz	13'616	13'899	14'310	14'880	14'785	Kanton Schwyz Schwyz
87.	Lyss	10'032	10'641	10'908	11'821	14'183	Kanton Bern Bern
88.	Arbon	13'357	13'144	12'853	13'633	14'128	Kanton Thurgau Thurgau
89.	Thônex	11'134	12'398	13'092	13'564	13'971	Kanton Genf Genf
90.	Liestal	12'353	12'695	13'052	13'600	13'956	Kanton Basel-Landschaft Basel-Landschaft
91.	Stäfa	10'666	11'469	12'787	13'942	13'955	Kanton Zürich Zürich
92.	Küsnacht	12'317	12'375	12'980	13'501	13'849	Kanton Zürich Zürich
93.	Horw	11'672	12'267	12'431	13'444	13'813	Kanton Luzern Luzern
94.	Meilen	10'855	11'429	11'794	12'571	13'329	Kanton Zürich Zürich
95.	Oftringen	9'978	10'220	10'635	12'319	13'210	Kanton Aargau Aargau
96.	Versoix	9'490	10'796	11'868	12'947	13'057	Kanton Genf Genf
97.	Richterswil	9'821	10'461	11'388	12'351	13'035	Kanton Zürich Zürich
98.	Muri bei Bern	12'627	12'477	12'458	12'625	12'967	Kanton Bern Bern
99.	Brig-Glis	11'356	11'846	12'029	12'467	12'935	Kanton Wallis Wallis
100.	Rheinfelden	10'205	10'566	10'859	11'961	12'897	Kanton Aargau Aargau
101.	Amriswil	10'972	11'227	11'515	12'243	12'814	Kanton Thurgau Thurgau
102.	Ebikon	11'303	11'091	11'491	12'116	12'781	Kanton Luzern Luzern
103.	Uzwil	11'356	11'955	12'074	12'655	12'695	Kanton St. Gallen St. Gallen
104.	Gland	8'230	9'700	10'625	11'633	12'597	Kanton Waadt Waadt
105.	Spiez	11'320	11'869	12'339	12'475	12'555	Kanton Bern Bern
106.	Zollikon	11'331	11'542	11'861	12'040	12'533	Kanton Zürich Zürich
107.	Delsberg	11'856	11'315	11'276	11'639	12'485	Kanton Jura Jura
108.	Glarus	5'554	5'705	5'807	12'2914	12'445	Kanton Glarus Glarus
109.	Küssnacht SZ	10'475	10'944	11'636	12'208	12'395	Kanton Schwyz Schwyz
110.	Buchs	10'214	10'272	10'547	11'242	12'187	Kanton St. Gallen St. Gallen
111.	Ecublens	9'694	9'711	10'302	11'102	12'164	Kanton Waadt Waadt
112.	Villars-sur-Glâne	8'584	9'010	9'992	11'397	12'137	Kanton Freiburg Freiburg
113.	Prilly	10'682	10'488	10'672	11'430	12'058	Kanton Waadt Waadt
114.	Le Grand-Saconnex	7'134	8'269	9'736	11'435	12'033	Kanton Genf Genf
115.	Rüti	10'708	10'807	11'376	11'966	12'010	Kanton Zürich Zürich
116.	Münchenstein	11'572	11'573	11'588	11'780	11'882	Kanton Basel-Landschaft Basel-Landschaft
117.	Münsingen	9'594	10'421	10'974	10'845	11'646	Kanton Bern Bern
118.	Affoltern am Albis	9'351	9'933	10'176	11'091	11'552	Kanton Zürich Zürich
119.	Belp	8'334	8'994	9'565	10'221	11'466	Kanton Bern Bern
120.	Worb	11'100	10'779	11'137	11'364	11'423	Kanton Bern Bern
121.	Bassersdorf	6'808	7'373	9'314	11'077	11'404	Kanton Zürich Zürich
122.	Arth	9'288	9'963	9'925	10'699	11'301	Kanton Schwyz Schwyz
123.	Pfäffikon	8'947	9'332	9'951	10'627	11'275	Kanton Zürich Zürich
124.	Altstätten	10'293	10'283	10'547	10'819	11'273	Kanton St. Gallen St. Gallen
125.	Ittigen	10'836	10'997	10'839	10'946	11'250	Kanton Bern Bern
126.	Zofingen	8'513	8'601	10'228	10'803	11'210	Kanton Aargau Aargau
127.	La Tour-de-Peilz	10'182	10'118	10'474	10'786	11'197	Kanton Waadt Waadt
128.	Davos	11'232	12'013	10'817	11'166	11'136	Kanton Graubünden Graubünden
129.	Chêne-Bougeries	9'624	9'709	10'061	10'400	11'105	Kanton Genf Genf
130.	Brugg	9'208	9'162	9'037	10'386	11'104	Kanton Aargau Aargau
131.	Spreitenbach	8'797	9'045	9'982	10'465	11'040	Kanton Aargau Aargau
132.	Weinfelden	9'301	9'366	9'519	10'383	11'039	Kanton Thurgau Thurgau
133.	Veyrier GE	7'756	8'986	9'553	10'003	10'999	Kanton Genf Genf
134.	Oberwil	8'843	9'433	9'962	10'442	10'917	Kanton Basel-Landschaft Basel-Landschaft
135.	Val-de-Travers NE	10'896	10'794	10'834	10'812	10'854	Kanton Neuenburg Neuenburg
136.	Hinwil	8'705	9'081	9'761	10'379	10'799	Kanton Zürich Zürich
137.	Möhlin	7'832	8'292	8'884	10'023	10'746	Kanton Aargau Aargau
138.	Romanshorn	7'199	8'432	9'008	9'711	10'659	Kanton Thurgau Thurgau
139.	Männedorf	7'699	8'244	9'582	10'442	10'537	Kanton Zürich Zürich
140.	Le Locle	10'977	10'349	10'226	10'049	10'433	Kanton Neuenburg Neuenburg
141.	Neuhausen am Rheinfall	10'626	10'062	9'880	10'185	10'331	Kanton Schaffhausen Schaffhausen
142.	Flawil	9'154	9'320	9'971	10'150	10'323	Kanton St. Gallen St. Gallen
143.	Birsfelden	11'049	10'243	10'240	10'352	10'313	Kanton Basel-Landschaft Basel-Landschaft
144.	Plan-les-Ouates	8'974	9'265	9'548	9'807	10'281	Kanton Genf Genf
145.	Sarnen	8'799	9'218	9'445	9'891	10'232	Kanton Obwalden Obwalden
146.	Aesch	9'555	9'801	9'880	10'219	10'155	Kanton Basel-Landschaft Basel-Landschaft
147.	Zollikofen	8'817	9'101	9'548	9'690	10'097	Kanton Bern Bern
148.	Risch	6'073	7'218	8'419	9'085	10'036	Kanton Zug Zug
